point_name,point_type,connection_level,irish_grid_easting_m,irish_grid_northing_m,latitude,longitude,max_export_capacity_mw,capacity_basis,time_series_actual_mw_public,semo_dispatch_join_candidate,coordinate_quality,source_date,source_url,jurisdiction,bus,associated_110kv_station,station_nc,wdt_groups,wdt_group_labels,group_source_url,notes
Raheenleagh,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.8151839,-6.1477320,35.2,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1121,Arklow,ARKLOW,"(30, 40)",IE-SE-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Rathcahill,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5436993,-8.9685536,12.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4681,Rathkeale,RATHKEALE,"(8, 9, 17, 18, 40)",IE-W-1|IE-W-2|IE-SW-1|IE-SW-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Richfield,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.3403641,-6.5394499,27,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5501,Wexford,WEXFORD,"(30, 40)",IE-SE-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Sliabh Bawn,Wind farm,Associated 110 kV station per EirGrid controllability list,,,53.7511805,-8.0518963,64,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,66094,Sliabh Bawn,SLIABH BAWN,"(4, 5, 8, 9, 40)",IE-NW-4|IE-NW-5|IE-W-1|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Sorne Hill 1 & 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,55.1313547,-7.3684232,38.9,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4991,Sorne Hill,SORNE HILL,"(1, 3, 4, 5, 6, 9, 40)",IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Spaddan,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.4987533,-8.1769822,17.1,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,17010,Cathaleen’s Fall,CATH FALL,"(3, 4, 5, 9, 40)",IE-NW-3|IE-NW-4|IE-NW-5|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Taurbeg,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.2053487,-9.0238080,25.3,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,2881,Glenlara,GLENLARA,"(9, 19, 20, 21, 40)",IE-W-2|IE-SW-3A|IE-SW-3B|IE-SW-3C|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Tournafulla 1,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.4245772,-9.4261150,7.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5261,Trien,TRIEN,"(9, 17, 25, 27, 28, 40)",IE-W-2|IE-SW-1|IE-SW-7|IE-SW-9|IE-SW-10|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Tournafulla 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.4245772,-9.4261150,19.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5261,Trien,TRIEN,"(9, 17, 25, 27, 28, 40)",IE-W-2|IE-SW-1|IE-SW-7|IE-SW-9|IE-SW-10|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Tullynamoyle,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.1988681,-8.1976390,9.2,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1631,Corderry,CORDERRY,"(3, 4, 5, 7, 8, 9, 40)",IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-7|IE-W-1|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Uggool,Wind farm,Associated 110 kV station per EirGrid controllability list,,,53.3536722,-9.3355257,64,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,2111,Uggool,UGGOOL,"(8, 9, 10, 40)",IE-W-1|IE-W-2|IE-W-3|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Woodhouse,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.0822332,-7.7706666,20,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,6931,Woodhouse,WOODHOUSE,"(31, 40)",IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Glencarbry,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5375573,-8.1938573,35.6,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5271,Cauteen,CAUTEEN,"(8, 9, 11, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-4|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Moneypoint,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.6103965,-9.4216875,17.25,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3941,Moneypoint,MONEYPOINT,"(8, 9, 17, 40)",IE-W-1|IE-W-2|IE-SW-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Seecon,Wind farm,Associated 110 kV station per EirGrid controllability list,,,53.3536722,-9.3355257,108,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,2111,Uggool,UGGOOL,"(8, 9, 10, 40)",IE-W-1|IE-W-2|IE-W-3|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Ballybay,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.6919962,-7.7642805,13.8,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5301,Thurles,THURLES,"(8, 9, 16, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-9|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Foyle,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.6919962,-7.7642805,9.6,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5301,Thurles,THURLES,"(8, 9, 16, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-9|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Tullabrack,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.6730693,-9.4791123,14.1,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5221,Tullabrack,TULLABRACK,"(8, 9, 17, 40)",IE-W-1|IE-W-2|IE-SW-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Cappawhite A,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5375573,-8.1938573,56.85,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5271,Cauteen,CAUTEEN,"(8, 9, 11, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-4|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
An Cnoc,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.6919962,-7.7642805,11.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5301,Thurles,THURLES,"(8, 9, 16, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-9|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Killin Hill,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.7189369,-8.2634291,6,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1341,Binbane,BINBANE,"(1, 3, 4, 5, 6, 9, 40)",IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Tullynamoyle 3,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.1988681,-8.1976390,13.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1631,Corderry,CORDERRY,"(3, 4, 5, 7, 8, 9, 40)",IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-7|IE-W-1|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Knocknatallig,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.3301844,-8.6941349,19.2,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1881,Charleville,CHARLEVILLE,"(9, 21, 40)",IE-W-2|IE-SW-3C|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Castlepook,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.3301844,-8.6941349,35,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1881,Charleville,CHARLEVILLE,"(9, 21, 40)",IE-W-2|IE-SW-3C|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Meenwaun,Wind farm,Associated 110 kV station per EirGrid controllability list,,,53.1259869,-7.9280760,11,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,2241,Dallow,DALLOW,"(8, 9, 40)",IE-W-1|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Meenaward,Wind farm,Associated 110 kV station per EirGrid controllability list,,,55.1127756,-7.4186417,6.9,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5361,Trillick,TRILLICK,"(1, 3, 4, 5, 6, 9, 40)",IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Leanamore,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5801792,-9.3963977,20.7,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3461,Kilpadogge,KILPADDOGE,"(9, 17, 40)",IE-W-2|IE-SW-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Scartaglen 1,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.2145657,-9.2855811,41,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1311,Cordal,CORDAL,"(9, 17, 23, 24, 25, 26, 40)",IE-W-2|IE-SW-1|IE-SW-5|IE-SW-6|IE-SW-7|IE-SW-8|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Tullynamoyle 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.1988681,-8.1976390,11.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1631,Corderry,CORDERRY,"(3, 4, 5, 7, 8, 9, 40)",IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-7|IE-W-1|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Glanaruddery 1,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.3305984,-9.4380864,23.1,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1511,Cloghboola,CLOGHBOOLA,"(9, 17, 25, 27, 28, 40)",IE-W-2|IE-SW-1|IE-SW-7|IE-SW-9|IE-SW-10|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Glanaruddery 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.3305984,-9.4380864,13.2,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1511,Cloghboola,CLOGHBOOLA,"(9, 17, 25, 27, 28, 40)",IE-W-2|IE-SW-1|IE-SW-7|IE-SW-9|IE-SW-10|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Teevurcher,Wind farm,Associated 110 kV station per EirGrid controllability list,,,53.8911239,-6.7310796,10.25,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3821,Meath Hill,MEATH HILL,"(40,)",IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Cordal 1,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.2145657,-9.2855811,35.2,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1311,Cordal,CORDAL,"(9, 17, 23, 24, 25, 26, 40)",IE-W-2|IE-SW-1|IE-SW-5|IE-SW-6|IE-SW-7|IE-SW-8|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Cordal 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.2145657,-9.2855811,54.4,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1311,Cordal,CORDAL,"(9, 17, 23, 24, 25, 26, 40)",IE-W-2|IE-SW-1|IE-SW-5|IE-SW-6|IE-SW-7|IE-SW-8|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Coollegrean,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.2145657,-9.2855811,17.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1311,Cordal,CORDAL,"(9, 17, 23, 24, 25, 26, 40)",IE-W-2|IE-SW-1|IE-SW-5|IE-SW-6|IE-SW-7|IE-SW-8|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Scartaglen 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.2145657,-9.2855811,6,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1311,Cordal,CORDAL,"(9, 17, 23, 24, 25, 26, 40)",IE-W-2|IE-SW-1|IE-SW-5|IE-SW-6|IE-SW-7|IE-SW-8|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Cloghaneleskirt,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.3305984,-9.4380864,11.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1511,Cloghboola,CLOGHBOOLA,"(9, 17, 25, 27, 28, 40)",IE-W-2|IE-SW-1|IE-SW-7|IE-SW-9|IE-SW-10|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Cappawhite B,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5375573,-8.1938573,13.2,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5271,Cauteen,CAUTEEN,"(8, 9, 11, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-4|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Clahane 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.3787738,-9.5480260,13.8,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1651,Clahane,CLAHANE,"(9, 17, 25, 27, 28, 40)",IE-W-2|IE-SW-1|IE-SW-7|IE-SW-9|IE-SW-10|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Corkermore,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.7189369,-8.2634291,10,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1341,Binbane,BINBANE,"(1, 3, 4, 5, 6, 9, 40)",IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
